	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000279928	0.586825545690607	-0.326929822508331	3.80055134319404	-0.0860216829049792	0.93144918064716	NA
ENSG00000228037	0.402257341465757	0.548714890825825	4.5615081384354	0.120292428331397	0.904251501875682	NA
ENSG00000142611	7.74822649363995	-0.020811342000637	0.68709460739637	-0.03028890312427	0.975836646537805	NA
ENSG00000284616	0	NA	NA	NA	NA	NA
ENSG00000157911	42.1734145280233	-0.0102845149203711	0.293073401515369	-0.0350919423843783	0.97200642650245	NA
ENSG00000260972	0	NA	NA	NA	NA	NA
ENSG00000224340	0	NA	NA	NA	NA	NA
ENSG00000226374	0	NA	NA	NA	NA	NA
ENSG00000229280	0	NA	NA	NA	NA	NA
ENSG00000142655	96.7060666703642	0.327713663656741	0.19122174136948	1.71378872145888	0.0865675355230284	NA
ENSG00000232596	0	NA	NA	NA	NA	NA
ENSG00000235054	0	NA	NA	NA	NA	NA
ENSG00000231510	0	NA	NA	NA	NA	NA
ENSG00000149527	310.457492212657	0.372516470391323	0.107890247875271	3.45273532805282	0.000554933197769494	0.0067660605092909
ENSG00000284739	0	NA	NA	NA	NA	NA
ENSG00000171621	168.520667154212	0.0582588725318279	0.146014905719304	0.398992638764043	0.689898628286087	0.851866509015478
ENSG00000272235	0	NA	NA	NA	NA	NA
ENSG00000284694	0	NA	NA	NA	NA	NA
ENSG00000224387	0	NA	NA	NA	NA	NA
ENSG00000142583	7.1527603283063	0.003510917579585	0.716484176040742	0.00490020254039129	0.996090219695152	NA
ENSG00000284674	0	NA	NA	NA	NA	NA
ENSG00000224338	0	NA	NA	NA	NA	NA
ENSG00000287727	0	NA	NA	NA	NA	NA
ENSG00000286448	0.191709871878029	-0.89095858741517	4.56207316163209	-0.195296865229673	0.845160551008017	NA
ENSG00000284703	0	NA	NA	NA	NA	NA
ENSG00000226457	0.978606888398812	-3.11290186958323	2.58898355586519	-1.20236448104552	0.229222344352983	NA
ENSG00000173614	74.4114205062972	0.0455215613378054	0.218935276915718	0.207922459911883	0.835289511922963	NA
ENSG00000215720	0	NA	NA	NA	NA	NA
ENSG00000241326	0	NA	NA	NA	NA	NA
ENSG00000233623	0	NA	NA	NA	NA	NA
ENSG00000204624	2.62765779919898	1.83249593133523	1.3286624772867	1.37920349423686	0.167832021030703	NA
ENSG00000142606	0.395115673812578	0.548714890825825	4.5615081384354	0.120292428331397	0.904251501875682	NA
ENSG00000225931	1.21282523879047	1.64933215933165	2.08769832980838	0.790024179155726	0.429513647652424	NA
ENSG00000171729	53.031688158985	0.218102422278484	0.263428830205587	0.827936798368922	0.407706293631335	NA
ENSG00000279457	70.9918979889055	0.264113714064994	0.224030111107967	1.17892060472938	0.23842979216343	NA
ENSG00000229393	0.409688365265039	2.51346353700156	4.44656973014786	0.565258995031655	0.571897614894261	NA
ENSG00000037637	66.2114576791258	-0.330875079415055	0.234369329740141	-1.41176782722344	0.158018334481054	NA
ENSG00000287586	0	NA	NA	NA	NA	NA
ENSG00000159423	134.268156780367	0.0452206526098608	0.167663788079011	0.269710312095244	0.787383126557555	NA
ENSG00000227169	0	NA	NA	NA	NA	NA
ENSG00000283356	0	NA	NA	NA	NA	NA
ENSG00000157916	389.804381056709	-0.0548110797366245	0.0970256643456952	-0.564913212460332	0.572132796419219	0.778592482004888
ENSG00000157881	59.9026497084552	0.180736371421632	0.252482798253249	0.715836376466118	0.474092388005455	NA
ENSG00000238290	1.60627374705086	0.648282181653447	1.73277553044048	0.374129349280832	0.708308084098406	NA
ENSG00000225387	0	NA	NA	NA	NA	NA
ENSG00000048707	448.240978346938	-0.0751323573799489	0.0914680281222527	-0.821405674992029	0.411415232127932	0.657728032668996
ENSG00000225196	0	NA	NA	NA	NA	NA
ENSG00000162444	0.999401007806801	1.24636042093554	2.33602616670535	0.533538724308623	0.593660712301007	NA
ENSG00000279625	0	NA	NA	NA	NA	NA
ENSG00000180758	187.431135920982	-0.0526710797450959	0.138772282213809	-0.379550432585265	0.704279161027487	0.858298598019725
ENSG00000184677	157.569961655952	0.0723971043596923	0.151571319151934	0.477643823150485	0.632903734270519	NA
ENSG00000288398	10.9355416482333	0.397138139360774	0.590317283393276	0.672753704716107	0.50110399484333	NA
ENSG00000224621	1.38282075156286	0.25116183114669	1.93346509446778	0.129902438821026	0.896643614740324	NA
ENSG00000285833	0	NA	NA	NA	NA	NA
ENSG00000131697	29.1673229956944	-0.0853386014561402	0.355533760021094	-0.240029530391367	0.810307363744846	NA
ENSG00000284692	0	NA	NA	NA	NA	NA
ENSG00000284745	0	NA	NA	NA	NA	NA
ENSG00000280222	0	NA	NA	NA	NA	NA
ENSG00000285945	0	NA	NA	NA	NA	NA
ENSG00000197921	0.402257341465757	0.548714890825825	4.5615081384354	0.120292428331397	0.904251501875682	NA
ENSG00000233755	0	NA	NA	NA	NA	NA
ENSG00000233929	4.62846850777021	0.774587611631644	0.946610145491819	0.818275205817915	0.413200060443446	NA
ENSG00000234166	0	NA	NA	NA	NA	NA
ENSG00000235282	0	NA	NA	NA	NA	NA
ENSG00000055070	428.092243471053	-0.0660040388153435	0.0936429942302955	-0.704847590125325	0.4809050886869	0.714527157295605
ENSG00000230035	0	NA	NA	NA	NA	NA
ENSG00000225643	0	NA	NA	NA	NA	NA
ENSG00000284666	0	NA	NA	NA	NA	NA
ENSG00000228943	0	NA	NA	NA	NA	NA
ENSG00000234397	3.38543010372527	0.139284666046304	1.08978949003098	0.127808780797055	0.898300300987237	NA
